id,home_team_id,away_team_id,home_score,away_score,finished,group,matchday,type,local_date,home_team,away_team,home_code,away_code,home_elo,away_elo,elo_diff,home_fifa_rank,away_fifa_rank,fifa_rank_diff
45,41,43,0,0,False,K,2,group,06/23/2026 15:00,Portugal,Uzbekistan,POR,UZB,1502.72,1500.0,2.72,6,70,-64
46,48,46,0,0,False,L,2,group,06/23/2026 19:00,Panama,Croatia,PAN,CRO,1518.06,1525.87,-7.81,51,13,38
47,44,42,0,0,False,K,2,group,06/23/2026 12:00,Colombia,IC Path 1 Winner,COL,TBD,1509.93,1500.0,9.93,16,70,-54
48,45,47,0,0,False,L,2,group,06/23/2026 21:00,England,Ghana,ENG,GHA,1572.98,1555.89,17.09,3,46,-43
49,12,9,0,0,False,C,3,group,06/24/2026 18:00,Scotland,Brazil,SCO,BRA,1496.59,1536.12,-39.53,39,5,34
50,10,11,0,0,False,C,3,group,06/24/2026 18:00,Morocco,Haiti,MAR,HAI,1400.57,1503.78,-103.21,9,53,-44
51,2,3,0,0,False,A,3,group,06/24/2026 19:00,South Africa,South Korea,RSA,KOR,1540.45,1550.46,-10.01,48,23,25
52,4,1,0,0,False,A,3,group,06/24/2026 19:00,UEFA Path D Winner,Mexico,TBD,MEX,1500.0,1457.47,42.53,70,15,55
53,6,5,0,0,False,B,3,group,06/25/2026 18:00,UEFA Path A Winner,Canada,TBD,CAN,1500.0,1518.99,-18.99,70,27,43
54,7,8,0,0,False,B,3,group,06/25/2026 18:00,Qatar,Switzerland,QAT,SUI,1477.97,1509.53,-31.56,42,19,23
55,18,19,0,0,False,E,3,group,06/25/2026 16:00,Curaçao,Ivory Coast,CUW,CIV,1500.0,1435.99,64.01,70,70,0
56,20,17,0,0,False,E,3,group,06/25/2026 16:00,Ecuador,Germany,ECU,GER,1489.03,1464.46,24.57,21,12,9
57,14,15,0,0,False,D,3,group,06/25/2026 19:00,Paraguay,Australia,PAR,AUS,1483.79,1443.32,40.47,43,25,18
58,16,13,0,0,False,D,3,group,06/25/2026 19:00,UEFA Path C Winner,United States,TBD,USA,1500.0,1460.27,39.73,70,11,59
59,22,23,0,0,False,F,3,group,06/26/2026 18:00,Japan,UEFA Path B Winner,JPN,TBD,1411.18,1500.0,-88.82,14,70,-56
60,24,21,0,0,False,F,3,group,06/26/2026 18:00,Tunisia,Netherlands,TUN,NED,1618.17,1494.29,123.88,29,7,22
61,34,35,0,0,False,I,3,group,06/26/2026 15:00,Senegal,IC Path 2 Winner,SEN,TBD,1449.12,1500.0,-50.88,17,70,-53
62,36,33,0,0,False,I,3,group,06/26/2026 15:00,Norway,France,NOR,FRA,1456.53,1470.87,-14.34,70,2,68
63,26,27,0,0,False,G,3,group,06/26/2026 20:00,Egypt,Iran,EGY,IRN,1465.91,1559.71,-93.8,34,24,10
64,28,25,0,0,False,G,3,group,06/26/2026 20:00,New Zealand,Belgium,NZL,BEL,1467.62,1405.06,62.56,59,4,55
65,30,31,0,0,False,H,3,group,06/27/2026 17:00,Cape Verde,Saudi Arabia,CPV,KSA,1500.0,1519.78,-19.78,70,47,23
66,32,29,0,0,False,H,3,group,06/27/2026 17:00,Uruguay,Spain,URU,ESP,1512.04,1477.08,34.96,18,8,10
67,48,45,0,0,False,L,3,group,06/27/2026 17:00,Panama,England,PAN,ENG,1518.06,1572.98,-54.92,51,3,48
68,46,47,0,0,False,L,3,group,06/27/2026 17:00,Croatia,Ghana,CRO,GHA,1525.87,1555.89,-30.02,13,46,-33
69,38,39,0,0,False,J,3,group,06/27/2026 20:00,Algeria,Austria,ALG,AUT,1445.5,1484.09,-38.59,41,22,19
70,40,37,0,0,False,J,3,group,06/27/2026 20:00,Jordan,Argentina,JOR,ARG,1500.0,1505.94,-5.94,70,1,69
71,44,41,0,0,False,K,3,group,06/27/2026 19:30,Colombia,Portugal,COL,POR,1509.93,1502.72,7.21,16,6,10
72,42,43,0,0,False,K,3,group,06/27/2026 19:30,IC Path 1 Winner,Uzbekistan,TBD,UZB,1500.0,1500.0,0.0,70,70,0
